agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.42 \pm 0.51$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",55_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.46 \pm 0.30$,"$0.00, 0.90$",$0.45 \pm 0.30$,"$0.00, 0.90$",$0.92 \pm 0.29$,$1.42 \pm 0.67$,"$1.00, 3.00$",$0.65 \pm 0.26$,"$0.00, 0.90$",$0.26 \pm 0.18$,"$0.00, 0.50$",$0.73 \pm 0.17$,"$0.50, 0.90$",56_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.38 \pm 0.45$,"$0.00, 0.99$",$0.62 \pm 0.45$,"$0.01, 1.00$",$1.00 \pm 0.00$,$1.33 \pm 0.49$,"$1.00, 2.00$",$0.92 \pm 0.15$,"$0.50, 1.00$",$0.08 \pm 0.15$,"$0.00, 0.50$",$0.92 \pm 0.15$,"$0.50, 1.00$",57_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.97 \pm 0.05$,"$0.80, 0.99$",$0.03 \pm 0.05$,"$0.01, 0.20$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.97 \pm 0.05$,"$0.80, 0.99$",$0.03 \pm 0.05$,"$0.01, 0.20$",$0.97 \pm 0.05$,"$0.80, 0.99$",58_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.25 \pm 0.13$,"$0.17, 0.50$",$0.41 \pm 0.13$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.50 \pm 0.80$,"$1.00, 3.00$",$0.47 \pm 0.06$,"$0.33, 0.50$",$0.19 \pm 0.06$,"$0.17, 0.33$",$0.21 \pm 0.09$,"$0.00, 0.25$",59_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.11 \pm 0.25$,"$0.00, 0.67$",$0.56 \pm 0.25$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.33 \pm 0.65$,"$1.00, 3.00$",$0.66 \pm 0.02$,"$0.60, 0.67$",$0.01 \pm 0.02$,"$0.00, 0.07$",$0.49 \pm 0.03$,"$0.40, 0.50$",60_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",61_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.48 \pm 0.18$,"$0.10, 0.80$",$0.52 \pm 0.18$,"$0.20, 0.90$",$1.00 \pm 0.00$,$1.42 \pm 0.67$,"$1.00, 3.00$",$0.49 \pm 0.18$,"$0.10, 0.80$",$0.51 \pm 0.18$,"$0.20, 0.90$",$0.49 \pm 0.18$,"$0.10, 0.80$",62_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.52 \pm 0.27$,"$0.01, 0.99$",$0.48 \pm 0.27$,"$0.01, 0.99$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.65 \pm 0.22$,"$0.50, 0.99$",$0.35 \pm 0.22$,"$0.01, 0.50$",$0.65 \pm 0.22$,"$0.50, 0.99$",63_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.99 \pm 0.03$,"$0.90, 1.00$",$0.01 \pm 0.03$,"$0.00, 0.10$",$1.00 \pm 0.00$,$1.17 \pm 0.58$,"$1.00, 3.00$",$0.99 \pm 0.03$,"$0.90, 1.00$",$0.01 \pm 0.03$,"$0.00, 0.10$",$0.99 \pm 0.03$,"$0.90, 1.00$",64_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.30 \pm 0.21$,"$0.00, 0.57$",$0.31 \pm 0.21$,"$0.00, 0.67$",$0.92 \pm 0.29$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.44 \pm 0.18$,"$0.00, 0.67$",$0.17 \pm 0.13$,"$0.00, 0.33$",$0.25 \pm 0.19$,"$0.00, 0.50$",65_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.41 \pm 0.31$,"$0.00, 0.67$",$0.25 \pm 0.31$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.50 \pm 0.52$,"$1.00, 2.00$",$0.63 \pm 0.10$,"$0.33, 0.67$",$0.04 \pm 0.10$,"$0.00, 0.33$",$0.45 \pm 0.14$,"$0.00, 0.50$",66_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.66 \pm 0.01$,"$0.63, 0.67$",$0.00 \pm 0.01$,"$0.00, 0.03$",$1.00 \pm 0.00$,$1.67 \pm 0.49$,"$1.00, 2.00$",$0.66 \pm 0.01$,"$0.63, 0.67$",$0.00 \pm 0.01$,"$0.00, 0.03$",$0.49 \pm 0.01$,"$0.45, 0.50$",67_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.47 \pm 0.11$,"$0.15, 0.60$",$0.53 \pm 0.11$,"$0.40, 0.85$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.53 \pm 0.11$,"$0.40, 0.85$",$0.47 \pm 0.11$,"$0.15, 0.60$",$0.53 \pm 0.11$,"$0.40, 0.85$",68_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.42 \pm 0.33$,"$0.01, 0.99$",$0.58 \pm 0.33$,"$0.01, 0.99$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.73 \pm 0.24$,"$0.50, 0.99$",$0.27 \pm 0.24$,"$0.01, 0.50$",$0.73 \pm 0.24$,"$0.50, 0.99$",69_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.90 \pm 0.19$,"$0.50, 1.00$",$0.10 \pm 0.19$,"$0.00, 0.50$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.90 \pm 0.19$,"$0.50, 1.00$",$0.10 \pm 0.19$,"$0.00, 0.50$",$0.90 \pm 0.19$,"$0.50, 1.00$",70_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.34 \pm 0.26$,"$0.00, 0.67$",$0.33 \pm 0.26$,"$0.00, 0.67$",$1.00 \pm 0.00$,$2.00 \pm 1.04$,"$1.00, 4.00$",$0.56 \pm 0.12$,"$0.33, 0.67$",$0.11 \pm 0.12$,"$0.00, 0.33$",$0.34 \pm 0.18$,"$0.00, 0.50$",71_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.44 \pm 0.33$,"$0.00, 0.67$",$0.22 \pm 0.33$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.42 \pm 0.51$,"$1.00, 2.00$",$0.66 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",72_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.66 \pm 0.01$,"$0.63, 0.67$",$0.01 \pm 0.01$,"$0.00, 0.03$",$1.00 \pm 0.00$,$1.58 \pm 0.67$,"$1.00, 3.00$",$0.66 \pm 0.01$,"$0.63, 0.67$",$0.01 \pm 0.01$,"$0.00, 0.03$",$0.49 \pm 0.01$,"$0.45, 0.50$",73_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
