agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.50 \pm 0.01$,"$0.47, 0.53$",$0.17 \pm 0.01$,"$0.13, 0.20$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.50 \pm 0.01$,"$0.47, 0.53$",$0.17 \pm 0.01$,"$0.13, 0.20$",$0.25 \pm 0.02$,"$0.20, 0.30$",55_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.57 \pm 0.25$,"$0.00, 0.90$",$0.34 \pm 0.20$,"$0.00, 0.70$",$0.92 \pm 0.29$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.63 \pm 0.23$,"$0.00, 0.90$",$0.29 \pm 0.14$,"$0.00, 0.60$",$0.70 \pm 0.13$,"$0.40, 0.90$",56_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.46 \pm 0.18$,"$0.10, 0.80$",$0.54 \pm 0.18$,"$0.20, 0.90$",$1.00 \pm 0.00$,$1.17 \pm 0.58$,"$1.00, 3.00$",$0.56 \pm 0.18$,"$0.10, 0.80$",$0.44 \pm 0.18$,"$0.20, 0.90$",$0.56 \pm 0.18$,"$0.10, 0.80$",57_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.66 \pm 0.11$,"$0.50, 0.90$",$0.34 \pm 0.11$,"$0.10, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.66 \pm 0.11$,"$0.50, 0.90$",$0.34 \pm 0.11$,"$0.10, 0.50$",$0.66 \pm 0.11$,"$0.50, 0.90$",58_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.33 \pm 0.16$,"$0.17, 0.53$",$0.33 \pm 0.16$,"$0.13, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.47 \pm 0.05$,"$0.33, 0.53$",$0.19 \pm 0.05$,"$0.13, 0.33$",$0.21 \pm 0.08$,"$0.00, 0.30$",59_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.34 \pm 0.16$,"$0.17, 0.50$",$0.32 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.48 \pm 0.04$,"$0.40, 0.50$",$0.18 \pm 0.04$,"$0.17, 0.27$",$0.23 \pm 0.06$,"$0.10, 0.25$",60_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.51 \pm 0.03$,"$0.47, 0.60$",$0.16 \pm 0.03$,"$0.07, 0.20$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.51 \pm 0.03$,"$0.47, 0.60$",$0.16 \pm 0.03$,"$0.07, 0.20$",$0.26 \pm 0.05$,"$0.20, 0.40$",61_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.62 \pm 0.28$,"$0.10, 0.90$",$0.38 \pm 0.28$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.43 \pm 0.30$,"$0.10, 0.90$",$0.57 \pm 0.30$,"$0.10, 0.90$",$0.43 \pm 0.30$,"$0.10, 0.90$",62_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.58 \pm 0.24$,"$0.10, 0.90$",$0.42 \pm 0.24$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.32 \pm 0.17$,"$0.10, 0.50$",$0.68 \pm 0.17$,"$0.50, 0.90$",$0.32 \pm 0.17$,"$0.10, 0.50$",63_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.55 \pm 0.17$,"$0.30, 0.90$",$0.45 \pm 0.17$,"$0.10, 0.70$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.55 \pm 0.17$,"$0.30, 0.90$",$0.45 \pm 0.17$,"$0.10, 0.70$",$0.55 \pm 0.17$,"$0.30, 0.90$",64_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.36 \pm 0.15$,"$0.17, 0.50$",$0.31 \pm 0.15$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.47 \pm 0.04$,"$0.40, 0.50$",$0.19 \pm 0.04$,"$0.17, 0.27$",$0.21 \pm 0.06$,"$0.10, 0.25$",65_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.28 \pm 0.16$,"$0.17, 0.50$",$0.39 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.25 \pm 0.01$,"$0.20, 0.25$",66_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.47 \pm 0.05$,"$0.33, 0.50$",$0.19 \pm 0.05$,"$0.17, 0.33$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.47 \pm 0.05$,"$0.33, 0.50$",$0.19 \pm 0.05$,"$0.17, 0.33$",$0.21 \pm 0.08$,"$0.00, 0.25$",67_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.49 \pm 0.29$,"$0.10, 0.90$",$0.51 \pm 0.29$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.29 \pm 0.20$,"$0.10, 0.60$",$0.71 \pm 0.20$,"$0.40, 0.90$",$0.29 \pm 0.20$,"$0.10, 0.60$",68_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.48 \pm 0.22$,"$0.10, 0.80$",$0.52 \pm 0.22$,"$0.20, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.40 \pm 0.19$,"$0.10, 0.70$",$0.60 \pm 0.19$,"$0.30, 0.90$",$0.40 \pm 0.19$,"$0.10, 0.70$",69_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.56 \pm 0.21$,"$0.10, 0.80$",$0.44 \pm 0.21$,"$0.20, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.56 \pm 0.21$,"$0.10, 0.80$",$0.44 \pm 0.21$,"$0.20, 0.90$",$0.56 \pm 0.21$,"$0.10, 0.80$",70_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.28 \pm 0.16$,"$0.17, 0.50$",$0.39 \pm 0.16$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.25 \pm 0.01$,"$0.20, 0.25$",71_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.35 \pm 0.17$,"$0.17, 0.50$",$0.32 \pm 0.17$,"$0.17, 0.50$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.49 \pm 0.05$,"$0.33, 0.50$",$0.18 \pm 0.05$,"$0.17, 0.33$",$0.23 \pm 0.07$,"$0.00, 0.25$",72_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.01$,"$0.47, 0.50$",$0.17 \pm 0.01$,"$0.17, 0.20$",$0.25 \pm 0.01$,"$0.20, 0.25$",73_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
