agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.67 \pm 0.00$,"$0.67, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.67, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",55_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.49 \pm 0.16$,"$0.27, 0.66$",$0.51 \pm 0.16$,"$0.34, 0.73$",$1.00 \pm 0.00$,$1.33 \pm 0.49$,"$1.00, 2.00$",$0.41 \pm 0.12$,"$0.34, 0.73$",$0.59 \pm 0.12$,"$0.27, 0.66$",$0.41 \pm 0.12$,"$0.34, 0.73$",56_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.58 \pm 0.51$,"$0.00, 0.99$",$0.42 \pm 0.51$,"$0.01, 1.00$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$0.99 \pm 0.00$,"$0.99, 1.00$",57_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$0.99 \pm 0.00$,"$0.99, 1.00$",58_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.27 \pm 0.22$,"$0.00, 0.67$",$0.34 \pm 0.23$,"$0.00, 0.67$",$0.92 \pm 0.29$,$2.25 \pm 1.06$,"$1.00, 5.00$",$0.44 \pm 0.20$,"$0.00, 0.67$",$0.17 \pm 0.16$,"$0.00, 0.32$",$0.24 \pm 0.24$,"$0.03, 0.50$",59_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.33 \pm 0.35$,"$0.00, 0.67$",$0.33 \pm 0.35$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.58 \pm 1.16$,"$1.00, 5.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",60_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",61_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.58 \pm 0.14$,"$0.30, 0.73$",$0.42 \pm 0.14$,"$0.27, 0.70$",$1.00 \pm 0.00$,$1.75 \pm 0.87$,"$1.00, 3.00$",$0.41 \pm 0.14$,"$0.30, 0.73$",$0.59 \pm 0.14$,"$0.27, 0.70$",$0.41 \pm 0.14$,"$0.30, 0.73$",62_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.33 \pm 0.49$,"$0.00, 1.00$",$0.67 \pm 0.49$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.17 \pm 0.39$,"$1.00, 2.00$",$0.58 \pm 0.51$,"$0.00, 1.00$",$0.42 \pm 0.51$,"$0.00, 1.00$",$0.58 \pm 0.51$,"$0.00, 1.00$",63_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.91 \pm 0.29$,"$0.00, 1.00$",$0.09 \pm 0.29$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.91 \pm 0.29$,"$0.00, 1.00$",$0.09 \pm 0.29$,"$0.00, 1.00$",$0.91 \pm 0.29$,"$0.00, 1.00$",64_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.28 \pm 0.19$,"$0.00, 0.67$",$0.33 \pm 0.20$,"$0.00, 0.67$",$0.92 \pm 0.29$,$3.00 \pm 2.52$,"$1.00, 10.00$",$0.40 \pm 0.19$,"$0.00, 0.67$",$0.21 \pm 0.16$,"$0.00, 0.32$",$0.18 \pm 0.23$,"$0.03, 0.50$",65_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.39 \pm 0.34$,"$0.00, 0.67$",$0.28 \pm 0.34$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",66_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.67 \pm 0.00$,"$0.67, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.67 \pm 0.00$,"$0.67, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",67_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.58 \pm 0.16$,"$0.34, 0.78$",$0.42 \pm 0.16$,"$0.22, 0.66$",$1.00 \pm 0.00$,$1.50 \pm 0.90$,"$1.00, 4.00$",$0.43 \pm 0.16$,"$0.34, 0.78$",$0.57 \pm 0.16$,"$0.22, 0.66$",$0.43 \pm 0.16$,"$0.34, 0.78$",68_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.67 \pm 0.49$,"$0.00, 1.00$",$0.33 \pm 0.49$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.75 \pm 0.45$,"$0.00, 1.00$",$0.25 \pm 0.45$,"$0.00, 1.00$",$0.75 \pm 0.45$,"$0.00, 1.00$",69_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.83 \pm 0.39$,"$0.00, 1.00$",$0.17 \pm 0.39$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.83 \pm 0.39$,"$0.00, 1.00$",$0.17 \pm 0.39$,"$0.00, 1.00$",$0.83 \pm 0.39$,"$0.00, 1.00$",70_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.29 \pm 0.17$,"$0.00, 0.67$",$0.37 \pm 0.17$,"$0.00, 0.67$",$1.00 \pm 0.00$,$2.42 \pm 2.50$,"$1.00, 10.00$",$0.44 \pm 0.14$,"$0.35, 0.67$",$0.23 \pm 0.14$,"$0.00, 0.32$",$0.16 \pm 0.21$,"$0.03, 0.50$",71_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.22 \pm 0.33$,"$0.00, 0.67$",$0.44 \pm 0.33$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.25 \pm 0.45$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",72_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",73_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
