agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.83 \pm 0.39$,"$1.00, 2.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",55_task=bargaining_duration=long_term_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.54 \pm 0.40$,"$0.01, 0.99$",$0.46 \pm 0.40$,"$0.01, 0.99$",$1.00 \pm 0.00$,$1.42 \pm 0.51$,"$1.00, 2.00$",$0.84 \pm 0.19$,"$0.50, 0.99$",$0.16 \pm 0.19$,"$0.01, 0.50$",$0.84 \pm 0.19$,"$0.50, 0.99$",56_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.50 \pm 0.51$,"$0.01, 1.00$",$0.50 \pm 0.51$,"$0.00, 0.99$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$0.99 \pm 0.00$,"$0.99, 1.00$",57_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$0.99 \pm 0.00$,"$0.99, 1.00$",58_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.22 \pm 0.23$,"$0.00, 0.66$",$0.28 \pm 0.26$,"$0.00, 0.60$",$0.75 \pm 0.45$,$1.33 \pm 0.65$,"$1.00, 3.00$",$0.40 \pm 0.25$,"$0.00, 0.66$",$0.10 \pm 0.09$,"$0.00, 0.27$",$0.35 \pm 0.14$,"$0.10, 0.50$",59_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.52 \pm 0.26$,"$0.00, 0.67$",$0.15 \pm 0.26$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.83 \pm 0.39$,"$1.00, 2.00$",$0.63 \pm 0.09$,"$0.34, 0.67$",$0.04 \pm 0.09$,"$0.00, 0.33$",$0.45 \pm 0.14$,"$0.01, 0.50$",60_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.64 \pm 0.09$,"$0.34, 0.67$",$0.03 \pm 0.09$,"$0.00, 0.33$",$1.00 \pm 0.00$,$1.83 \pm 0.39$,"$1.00, 2.00$",$0.64 \pm 0.09$,"$0.34, 0.67$",$0.03 \pm 0.09$,"$0.00, 0.33$",$0.46 \pm 0.14$,"$0.01, 0.50$",61_task=bargaining_duration=long_term_scenario=splitting_coins_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.60 \pm 0.26$,"$0.10, 0.99$",$0.40 \pm 0.26$,"$0.01, 0.90$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.68 \pm 0.21$,"$0.50, 0.99$",$0.32 \pm 0.21$,"$0.01, 0.50$",$0.68 \pm 0.21$,"$0.50, 0.99$",62_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.70 \pm 0.44$,"$0.00, 1.00$",$0.30 \pm 0.44$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.87 \pm 0.31$,"$0.00, 1.00$",$0.13 \pm 0.31$,"$0.00, 1.00$",$0.87 \pm 0.31$,"$0.00, 1.00$",63_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,$1.42 \pm 0.51$,"$1.00, 2.00$",$0.99 \pm 0.00$,"$0.99, 1.00$",$0.01 \pm 0.00$,"$0.00, 0.01$",$0.99 \pm 0.00$,"$0.99, 1.00$",64_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.38 \pm 0.30$,"$0.00, 0.67$",$0.23 \pm 0.29$,"$0.00, 0.67$",$0.92 \pm 0.29$,$1.58 \pm 0.51$,"$1.00, 2.00$",$0.57 \pm 0.19$,"$0.00, 0.67$",$0.04 \pm 0.06$,"$0.00, 0.17$",$0.43 \pm 0.10$,"$0.25, 0.50$",65_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.48 \pm 0.28$,"$0.00, 0.67$",$0.19 \pm 0.28$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.83 \pm 0.39$,"$1.00, 2.00$",$0.62 \pm 0.10$,"$0.33, 0.67$",$0.05 \pm 0.10$,"$0.00, 0.33$",$0.43 \pm 0.15$,"$0.00, 0.50$",66_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.65 \pm 0.02$,"$0.60, 0.67$",$0.01 \pm 0.02$,"$0.00, 0.07$",$1.00 \pm 0.00$,$1.83 \pm 0.39$,"$1.00, 2.00$",$0.65 \pm 0.02$,"$0.60, 0.67$",$0.01 \pm 0.02$,"$0.00, 0.07$",$0.48 \pm 0.04$,"$0.40, 0.50$",67_task=bargaining_duration=long_term_scenario=making_deals_seller_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.56 \pm 0.23$,"$0.10, 0.90$",$0.44 \pm 0.23$,"$0.10, 0.90$",$1.00 \pm 0.00$,$1.17 \pm 0.39$,"$1.00, 2.00$",$0.65 \pm 0.19$,"$0.50, 0.90$",$0.35 \pm 0.19$,"$0.10, 0.50$",$0.65 \pm 0.19$,"$0.50, 0.90$",68_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.50 \pm 0.47$,"$0.00, 1.00$",$0.50 \pm 0.47$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.08 \pm 0.29$,"$1.00, 2.00$",$0.83 \pm 0.32$,"$0.00, 1.00$",$0.17 \pm 0.32$,"$0.00, 1.00$",$0.83 \pm 0.32$,"$0.00, 1.00$",69_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.83 \pm 0.38$,"$0.00, 1.00$",$0.17 \pm 0.38$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.33 \pm 0.49$,"$1.00, 2.00$",$0.83 \pm 0.38$,"$0.00, 1.00$",$0.17 \pm 0.38$,"$0.00, 1.00$",$0.83 \pm 0.38$,"$0.00, 1.00$",70_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.28 \pm 0.29$,"$0.00, 0.67$",$0.33 \pm 0.29$,"$0.00, 0.67$",$0.92 \pm 0.29$,$1.42 \pm 0.51$,"$1.00, 2.00$",$0.54 \pm 0.20$,"$0.00, 0.67$",$0.07 \pm 0.10$,"$0.00, 0.30$",$0.39 \pm 0.15$,"$0.05, 0.50$",71_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=alternating_offer.csv,bargaining
$0.27 \pm 0.31$,"$0.00, 0.66$",$0.40 \pm 0.31$,"$0.01, 0.67$",$1.00 \pm 0.00$,$1.75 \pm 0.45$,"$1.00, 2.00$",$0.63 \pm 0.06$,"$0.50, 0.67$",$0.03 \pm 0.06$,"$0.00, 0.17$",$0.45 \pm 0.09$,"$0.25, 0.50$",72_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
$0.66 \pm 0.02$,"$0.60, 0.67$",$0.01 \pm 0.02$,"$0.00, 0.07$",$1.00 \pm 0.00$,$1.67 \pm 0.49$,"$1.00, 2.00$",$0.66 \pm 0.02$,"$0.60, 0.67$",$0.01 \pm 0.02$,"$0.00, 0.07$",$0.49 \pm 0.03$,"$0.40, 0.50$",73_task=bargaining_duration=long_term_scenario=making_deals_buyer_as_proposer_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=_long_term_type=fixed_role.csv,bargaining
